Fecha,Producto,Variedad,Min,Max,Prom
21/06/2024,PAPA,PAPA AMARILLA,3.00,3.20,3.08
21/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.10,1.20,1.14
21/06/2024,PAPA,PAPA COLOR/VALLE/OTROS,1.35,1.45,1.41
21/06/2024,PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.60,1.70,1.66
21/06/2024,PAPA,PAPA HUAMANTANGA,1.60,1.80,1.68
21/06/2024,PAPA,PAPA NEGRA ANDINA,1.10,1.20,1.15
21/06/2024,PAPA,PAPA PERUANITA (INJERTO),1.50,1.70,1.63
21/06/2024,PAPA,PAPA YUNGAY,1.10,1.20,1.14
21/06/2024,PAPA,PAPA UNICA,1.60,1.80,1.68
21/06/2024,PAPA,PAPA CANCHAN,1.00,1.20,1.13
21/06/2024,MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.50,3.50,3.50
21/06/2024,MANZANA,MANZANA CORRIENTE PARA AGUA,3.00,3.50,3.25
21/06/2024,PALTA,PALTA FUERTE (COSTA),4.00,6.00,4.88
22/06/2024,CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,2.00,2.40,2.18
22/06/2024,CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,2.10,2.30,2.20
22/06/2024,PAPA,PAPA AMARILLA,3.10,3.30,3.18
22/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.10,1.20,1.14
22/06/2024,PAPA,PAPA COLOR/VALLE/OTROS,1.45,1.58,1.52
22/06/2024,PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.60,1.70,1.66
22/06/2024,PAPA,PAPA HUAMANTANGA,1.60,1.70,1.65
22/06/2024,PAPA,PAPA NEGRA ANDINA,1.10,1.20,1.15
22/06/2024,PAPA,PAPA PERUANITA (INJERTO),1.60,1.80,1.71
22/06/2024,PAPA,PAPA YUNGAY,1.10,1.20,1.14
22/06/2024,PAPA,PAPA UNICA,1.70,1.90,1.80
22/06/2024,PAPA,PAPA CANCHAN,1.10,1.30,1.21
22/06/2024,MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.50,3.50,3.50
22/06/2024,MANZANA,MANZANA CORRIENTE PARA AGUA,3.00,3.50,3.25
22/06/2024,PALTA,PALTA FUERTE (COSTA),4.00,6.00,4.88
23/06/2024,CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,2.00,2.40,2.18
23/06/2024,CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,2.10,2.30,2.20
23/06/2024,PAPA,PAPA AMARILLA,3.10,3.30,3.18
23/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.10,1.20,1.14
23/06/2024,PAPA,PAPA COLOR/VALLE/OTROS,1.45,1.58,1.52
23/06/2024,PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.60,1.70,1.66
23/06/2024,PAPA,PAPA HUAMANTANGA,1.60,1.70,1.65
23/06/2024,PAPA,PAPA NEGRA ANDINA,1.10,1.20,1.15
23/06/2024,PAPA,PAPA PERUANITA (INJERTO),1.60,1.80,1.71
23/06/2024,PAPA,PAPA YUNGAY,1.10,1.20,1.14
23/06/2024,PAPA,PAPA UNICA,1.70,1.90,1.80
23/06/2024,PAPA,PAPA CANCHAN,1.10,1.30,1.21
23/06/2024,MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.50,3.50,3.50
23/06/2024,MANZANA,MANZANA CORRIENTE PARA AGUA,3.00,3.50,3.25
23/06/2024,PALTA,PALTA FUERTE (COSTA),4.00,6.00,4.88
24/06/2024,CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,2.00,2.40,2.18
24/06/2024,CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,2.10,2.50,2.28
24/06/2024,PAPA,PAPA AMARILLA,3.00,3.30,3.15
24/06/2024,PAPA,PAPA BLANCA/VALLE/OTROS,1.20,1.30,1.24
24/06/2024,PAPA,PAPA COLOR/VALLE/OTROS,1.45,1.55,1.49
24/06/2024,PAPA,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.60,1.80,1.70
24/06/2024,PAPA,PAPA HUAMANTANGA,1.60,1.80,1.68
24/06/2024,PAPA,PAPA NEGRA ANDINA,1.10,1.20,1.15
24/06/2024,PAPA,PAPA PERUANITA (INJERTO),1.80,2.00,1.88
24/06/2024,PAPA,PAPA YUNGAY,1.20,1.30,1.24
24/06/2024,PAPA,PAPA UNICA,1.60,1.80,1.73
24/06/2024,PAPA,PAPA CANCHAN,1.10,1.30,1.23
24/06/2024,MANZANA,MANZANA DELICIA(COSTA/SIERRA),3.50,3.50,3.50
24/06/2024,MANZANA,MANZANA CORRIENTE PARA AGUA,3.00,3.50,3.25
24/06/2024,PALTA,PALTA FUERTE (COSTA),4.00,6.00,4.88
